,Type_appart,Surface m²,Price €,Localisation,Date Post,Description
0,appartement ,79m,1.990,Paris 17E,/  13 septembre 2019,"Location vide.

Appartement 3 pièces de 79 m² environ au 2ème étage dans immeuble charmant et moderne de 2 étages avec cour intérieure, sécurisé interphone et digicode.

Entrée, séjour avec cuisine US aménagée de 40 m²; 2 chambres de 9,50 et 15 m², salle de bains avec double vasque lavabo et baignoire équipée douche, wc séparés, volumineux rangements. Très lumineux et calme, sol parquet, sans vis-à-vis, traversant salon orienté sud. Chauffage et eau chaude individuels, double vitrage partout, excellente isolation phonique et thermique, rue très peu passante.

Situé à moins de 5 min à pied des transports en commun (métro, bus et RER), des commerces, des écoles, d'un parc arboré de 6,5 ha et du square des Batignolles.

Cave et local vélos/poussettes inclus.

Libre au 1er octobre 2019.

Loyer mensuel : 1.910 € + 80 € provision charges.

Bonnes garanties requises."
1,meublee studio ,33m,1.320,Paris 14E,/  13 septembre 2019,"
					Grand studio moderne entre Montparnasse et Luxembourg.				"
2,appartement ,57m,1.520,Paris 16E,/  13 septembre 2019,"Appartement 2 pièces de 57 m², quartier Exelmans, 5e étage avec ascenseur, à 2 mn à pied du métro Exelmans.
Immeuble sécurisé, digicodes et gardien, avec jardin donnant sur rue calme.
2 pièces comprenant une entrée, un séjour/salle à manger, une chambre avec dressing, une cuisine entièrement équipée (four, plaques vitro, lave-vaisselle, meubles de rangement et plan de travail), une salle de bains avec baignoire, et wc séparés.

Parquet au sol, cave, eau et chauffage collectif inclus dans les charges.

Proche commerces, transports et écoles.

Disponible immédiatement.
Caution solidaire susceptible d'être demandée.
Loyer : 1.520 €/mois + 150 € charges.
Loyer : 1520 € + charges 150 €"
3,meublee appartement ,76m,2.900,Paris 16E,/  13 septembre 2019,"Très agréable appartement dans un bel immeuble haussemanien avec ascenseur. Refait à neuf et entièrement  meublé par décorateur .Proche toutes commerces et au pied du métro Mirabeau.
Comprenant une entrée avec débarrat, cuisine entièrement équipée ( lave Linge, lave vaisselle , four, micro-onde,frigo,vaisselles ,grille-pain...), grand salon , 2chambres .nombreux rangements .
Loyer: 2900 euros charges comprises. Libre de suite
Tel: 0632525332"
4,meublee appartement ,33m,1.590,Paris 5E,/  13 septembre 2019,"Quartier Latin / Les Gobelins  - 33m2.

Magnifique appartement au 5ème étage baigné de lumière avec vue sur le ciel. Cet appartement de 2 pièces de 33m2 loi Carrez aux prestations très haut de gamme a été entièrement repensé et refait à neuf par une architecte d'intérieur. Sur une rue très peu passante, le calme de l'appartement est absolu.

- Calme absolu
- 2 très grandes fenêtres et traversant qui laisse le ciel et le soleil rentré (exposition pleine Est) - Très lumineux
- Cuisine refaite à neuf, toute équipée - four, lave vaisselle, lave linge, frigo
- De très nombreux rangements à travers tout l'appartement dont une grande penderie dans la chambre
- Grande hauteur de plafond - 2.65m
- Aménagement haut de gamme refait à neuf par une architecte d'intérieur. Zéro perte de place.

Il se compose de :
une petite entrée avec un grand placard
un salon avec canapé convertible, table à manger et écran plat
une chambre avec nombreux rangement sur mesure et lit double, applique murale
une salle de bains avec douche à l'italienne, vasque, toilettes et lave-linge.

L'appartement est loué tout équipé et meublé avec des produits récents (achetés en Août). Vous n'avez qu'à poser vos bagages
- Grand Écran plat 110 cm, penderie, canapé, table basse, table de repas, applique, luminaire, lit double
- Cuisine moderne et tout équipé : lave-vaisselle, frigidaire, four/micro-ondes, vaisselle etc…
- Salle de bains tout confort : grande douche carrelée sur mesure, vasque, toilettes, lave-linge
- Sol plan avec parquet, plat et parfaitement isolant acoustiquement.
- Fenêtres, chauffage électrique, digicode.

Situation géographique idéale :
- Plein 5eme arrondissement entre Place Monge et les Gobelins
- 1 min à pied de la station les Gobelins - Ligne 7
- 5 min du Jardin des Plantes
- 7 min à pied de la rue Mouffetard.
À proximité de commerces et écoles (boucherie, boulangerie, Monoprix en bas).

Loyer : 1590 €/mois charges comprises."
5,meublee studio ,34m,1.250,Paris 15E,/  13 septembre 2019,"Studio de 34 m² avec pièce à vivre de 23 m². Très lumineux. Cuisine séparée, dinatoire et totalement équipée (frigo, plaques vitro, four, lave-vaisselle). Salle de bains avec lave-linge. Grand placard dans l'entrée. Grand balcon donnant sur jardin avec vue dégagée. Accès par l'immeuble à un club de sport privé ' Le Club 15 ' et réservé aux résidents. Gardien et Parking. Grande cave.
Chauffage collectif.

Disponible de suite.

Stations de métro: Volontaires, Plaisance, Vaugirard, Pasteur, Convention.
Lignes de bus: 62, 88, 89 et 95.

Loyer : 1.170 € /mois + 80 € de charges."
6,meublee appartement ,67m,2.390,Paris 20E,/  13 septembre 2019,"Quartier très commerçant.
Au 10ème et dernier étage Sud et Est, terrasse 47 m².

2 pièces meublées 67 m².
Peinture et parquet  refait à neuf.
Cuisine équipée, séjour 34 m², salle d'eau en marbre avec wc. Volets électriques.
Cave. Chauffage collectif.

Possibilité de parking au sous sol par ascenseur.
Location meublée.

Immeuble avec gardienne.
Libre de suite."
7,meublee appartement ,74m,2.370,Paris ,/  13 septembre 2019,"Bail meublé code civil (société ou hab.secondaire) exclusivement. Durée ferme mini 6 mois, 1 an souhaité.

(Triangle Vendôme / Opéra /Louvre). T3, 74 m²- , 3ème- Séjour, 2 chambres spacieuses, kitchen. équipée, bains marbre +sanitaires  qualité + wc + autre wc séparés, nombreux vitraux, meubles style parisien.
(Abonnements Électricité,/gaz)
(internet /cable non compris)

Conditions contractuelles à charge du preneur :
 - Taxes d'habitation  (2.535€) et d'ordure ménagère (320€)
- Entretien . annuel  chaud. gaz (130€)
- Restitution linge maison après nettoyage par professionnel
- Ménage final de sortie soigné requis (vitres, lustres, volets inclus).

Libre au 8 avril 2019
2 mois de garantie
Garantie bancaire ou paiement d'avance totalité loyers + 2 mois DG

Paris (first arrondissement) nearby Vendôme - Opéra - Tuileries - 3 room fully furbished apartement (Parisian-style furniture and decoration) - - Classic 1830 building - 3d-  - 3  points lock gateway - 74 sq.m (800 sq/ ft)- 1 living/dining room - 2 large bedrooms - (2 hight wind/room) -equipped kitchen - big bathroom marble with classic clawfoot tub and toilet - separate W.C.- marble fireplaces - moldings - stained glasses windows in livingroom, bathroom and kitchen -
(Electricity, gaz, d'habitation tax and taxes of household waste non included)
Annual maintenance of the gaz boiler required.
Final house linen cleaning out and ironing in laundry required for bed sheets,pillow cases and toilet towels -
Final soigné output household also required (chandeliers, windows and shutters included)
Available april 8th2019
Loyer : 2370 € charges comprises"
8,meublee studio ,25m,1.100,Paris 7E,/  13 septembre 2019,"Proche Louvres.
Rue Verneuil. Studio meublé de 25 m² plein sud au 3e étage.
Cuisine américaine.
Grande salle de bains avec wc.

Loyer 1100€/mois charges comprises.

01.47.70.25.97"
9,meublee appartement ,50m,1.600,Paris 14E,/  13 septembre 2019,"Dans un immeuble bourgeois du 14ème,  proche de la Place Denfert Rochereau, mais donnant sur jardin privé de l'immeuble,  exposition Sud Ouest, très calme,  lumineux et ensoleillé : un appartement de 2 pièces principales (Loi Carrez 50m2) : entrée, grand dressing, séjour-salon de 22m2, cuisine entièrement équipé (frigo-congélateur, lave-vaisselle, lave-linge, plaque halogène, hotte aspirante, four chaleur tournante, four micro-ondes, petit billot, (de nombreux placards hauts et bas),   chambre, salle de bains équipée (meuble avec vasque et rangement) water-closet séparé avec rangements,
Fenêtre chambre et grande baie du séjour-salon en pvc double vitrage de qualité, volet roulant électrique et store pour la baie du salon.
Parquet au sol, sauf pour les pièces d'eau : carrelage,
Chauffage central collectif urbain, compteur d'eau froide et chaude également, et ordures ménagères, le tout  compris dans les charges, et  concierge immeuble.
Compteur EDF individuel.
Fibre internet dans l'immeuble et sur le palier.
Desservi par la ligne C du RER - lignes 4 et 6 du métro - et nombreux bus 38 - 68 , 88
le tout à 5 minutes à pied du Jardin du Luxembourg, pour promenades, joggings, à 10 minutes à pied de Montparnasse des cinémas, restaurants et autres."
