,Surface m²,Price €,Luxury_location,Date Post,Description,Meublee,Type_appart_chambre,Type_appart_studio,Code_postal_75001,Code_postal_75002,Code_postal_75003,Code_postal_75004,Code_postal_75005,Code_postal_75006,Code_postal_75007,Code_postal_75008,Code_postal_75009,Code_postal_75010,Code_postal_75011,Code_postal_75012,Code_postal_75013,Code_postal_75014,Code_postal_75015,Code_postal_75016,Code_postal_75017,Code_postal_75018,Code_postal_75019,Code_postal_75020
0,42,1280,0,02 septembre 2019,"Métro Alésia, proche transports et bus.

Dans quartier recherché, à proximité du Parc Montsouris, au 1er étage appartement de type 2 (meublé ou vide) comprenant : Grand séjour, chambre à coucher, grand couloir desservant salle d'eau et cuisine.
Cuisine aménagée et dinatoire d'une surface de 6 m² (plaques, micro-ondes, réfrigérateur, machine à laver).
Séjour, couloir et chambre à coucher sur parquet.

Immeuble sécurisé avec interphone, digicode, double vitrage, volets bois.

Colocation acceptée. Internet.

Libre à partir du 09 septembre.

Loyer : 1190 €/mois + 90 € de provision sur charges.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,53,1533,0,30 août 2019,"Daumesnil. Haussmannien, au calme, 3 pièces, 53 m², au 2e, meublé, belles prestations (moulures, cheminées, parquet), salle de bains marbre avec wc, cuisine équipée, salon, salle à manger, chambre, rangements.

Bail 1 an. Libre de suite.
Visite jeudi 29, vendredi 30 et samedi 31 août de 13h à 18h avec possibilité pendant la matinée.
(Agences s'abstenir).",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,38,1400,0,30 août 2019,"Métro place d'Italie ou Tolbiac.
2 pièces meublé environs 38 m².
Immeuble récent.
Ascenseur, chauffage central.
Tout confort, cuisine séparée, salle de bains, lave linge.
Possibilité TV, internet.
Polocation et courte durée possible.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,33,1130,0,30 août 2019,"2 pièces de 32,5m2 en parfait état entre Lamarck et Jule Joffrin, près de l'intersection Rue Marcadet / Rue Damrémont.
Bien optimisé. Intégralement meublé : lave-linge, lave-vaisselle, draps, serviettes, assiettes, couverts, etc…
Idéalement pour personne seule.

Disponible de suite.
Les visites seront organisées Samedi 31 Aout entre 15h et 20h. La réponse sera rendue Dimanche 12h pour emménagement possible le jour même
Loyer en accord avec la nouvelle règlementation sur le plafonnement des loyers parisiens.
Charges mensuelles : 130€.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,75,2350,1,30 août 2019,"Appartement meublé 75,5 m², entièrement rénové, au 2e étage avec ascenseur. Quartier Grands Boulevards, Drouot, proche d'Opéra et des gares (Est et Nord).

Chauffage individuel gaz. 2 chambres (20 et 17 m²), salon salle à manger (TV, cable, box). Poutres apparentes.
Cuisine équipée 10 m², matériel de grande qualité, lave-linge, sèche-linge, lave-vaisselle, fours, plaque induction etc., (Miele, Bosch...), salle de bains avec baignoire. Porte blindée.

Classe énergie C.
Loyer charges comprises sauf gaz, électricité. Dépôt de garantie et cautions sérieuses demandés. Visite sur Rendez-vous.
Libre au 1er septembre 2019.",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,30,980,1,30 août 2019,"Proche Bastille.

Studio de 30 m² meublé et garni.
Au 3ème étage, sans ascenseur, calme, clair, poutres apparentes, beaucoup de charme.
Salle de douche, wc, coin cuisine (réfrigérateur, plaques induction), alcôve couchage 2 places.

Immeuble ancien.

*Libre de suite. *

Loyer charges comprises.
Caution et garanties demandées.",1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,71,1964,0,30 août 2019,"Meublé 3 pièces + dressing de 71 m² au 29ème étage.
Très lumineux, vue imprenable sur Est parisien, sans aucun vis-à-vis.
Grand séjour + cuisine américaine de 33 m², espace nuit parfaitement isolé de l'espace jour, cuisine récente entièrement équipée (induction, lave-vaisselle, réfrigérateur - congélateur, four pyrolyse), 2 chambres, salle d'eau avec lave-linge.
Baies vitrées (double vitrage sur aluminium) sur toute la largeur des 3 pièces.
Pièce supplémentaire de 6 m² pouvant servir de bureau ou de dressing, nombreux rangements.
Cave et parking.
Immeuble de standing sous vidéo surveillance + gardien 24/7.
Tous commerces à proximité, hyper marché à 7 mn à pied. Centre commercial Italie 2 à 10 mn. Métro Olympiades (ligne 14) à 5 mn et tramway à 10 mn.
Maternelle, primaire et collège à moins de 150 m, sans rue à traverser.
Square et grand parc à 5 mn.
Loyer : 1964 € charges comprises (chauffage, eau chaude et froide inclus), sauf EDF (environ 35 Euros par mois).",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,10,599,0,30 août 2019,"Dans quartier calme et agréable de la Plaine Monceau dans le 17e arrondissement de Paris.
A proximité des Champs-Élysées, de l'Opéra et de la gare Saint-Lazare.

Loue, pour personne seule, chambre meublée mansardée avec lavabo (douche et wc sur palier) au 4 ème étage sans ascenseur.
Connexion wifi.
Draps fournis.

Prix toutes charges comprises pour un mois : 599€.
Location possible à la journée : 39€ par nuit.
Nombreux transports en commun à proximité : 3 stations de Métro : Wagram, Villiers et Malesherbes (lignes 2 et 3).
RER : Pereire (RER C).
Transilien : Pont Cardinet (ligne L).
Bus : 94, 31, 20, 528, 163.
Proche du marché de la rue Lévis et de tous types de commerces et services : supermarchés, cafés, restaurants, banques, laveries, pressings, postes, pharmacies…
Merci d'appeler avant 20h.

Loyer : 599 €/mois charges comprises.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,60,2300,1,30 août 2019,"
					Loft de 60m2 avec terrasse dans le quartier Montorgueil				",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,33,1100,0,30 août 2019,"10è à côté de la Place Liszt grand studio lumineux et agréable meublé libre de suite.

Dans une copropriété calme au 4è étage avec ascenseur, appartement meublé de 33 m² pour de périodes de 9 mois / 1 an (renouvelable) à une personne avec références, sérieuse, tranquille et très soignée. L'appartement se compose d'une belle pièce donnant sur rue, d'une grande entrée, d'une cuisine séparée avec fenêtre, d'une salle d'eau et de wc séparés.
Fenêtres double vitrage, lit double, commode, armoire, canapé, fauteuil, TV, wifi, table à manger, chaises, lumières, plaques vitrocéramiques, frigo, machine à laver et électro-ménagers variés. Quartier commerçant animé et très bien desservi.

Loyer : 1100€/mois charges incluses sauf électricité. Dépôt de garantie de deux mois.",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,42,1280,0,02 septembre 2019,"Métro Alésia, proche transports et bus.

Dans quartier recherché, à proximité du Parc Montsouris, au 1er étage appartement de type 2 (meublé ou vide) comprenant : Grand séjour, chambre à coucher, grand couloir desservant salle d'eau et cuisine.
Cuisine aménagée et dinatoire d'une surface de 6 m² (plaques, micro-ondes, réfrigérateur, machine à laver).
Séjour, couloir et chambre à coucher sur parquet.

Immeuble sécurisé avec interphone, digicode, double vitrage, volets bois.

Colocation acceptée. Internet.

Libre à partir du 09 septembre.

Loyer : 1190 €/mois + 90 € de provision sur charges.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
