,Type_appart,Surface m²,Price €,Localisation,Date Post,Description
0,meublee appartement ,47m,1750,Paris 3E,/  06 septembre 2019,"Appartement de 2 pièces - meublé  - 47 m² - Paris 3e - métro Arts et Métiers / Temple / République - 2e étage sans ascenseur - double exposition séjour Nord-Est et chambre Sud-Est (sur cour) - Beaux volumes : 3m20 de hauteur sous plafond, 2 mezzanines de rangement, entrée, salle de bains, wc à part, couloir, chambre, salon et cuisine à l'américaine (cuisine équipée : réfrigérateur, plaques électriques, four, lave-linge, lave-vaisselle). Rangements, dressing, bibliothèque. Chauffage électrique. Matériaux bruts : tomettes anciennes, parquet ancien, bois. Literie neuve. Ambiance : mélange de vintage et de contemporain.
Premier contact par mail avec présentation.
Loyer : 1750 € charges comprises
Disponible à partir du 15 septembre."
1,meublee appartement ,130m,4800,Paris 6E,/  06 septembre 2019,"Très bel appartement haussmannien avec moulure au 1er étage entièrement refait neuf meublé avec meubles anciens et literie neuve.

Isolation phonique neuves de toutes les fenêtres au maximum, aucun bruit de la rue!
2 belles salle de bain dont 1 avec baignoire.
Grande cuisine tout équipée avec table pour déjeuner.

Air conditionnée
Chauffage et eau chaude individuel.


Loyer : 4800 € charges comprises"
2,meublee appartement ,44m,1870,Paris 8E,/  06 septembre 2019,"2 pièces au 8 rue Balzac, 3ème étage (2 ascenseurs) à 100 m des Champs Elysées et à proximité de l'Arc de Triomphe, lumineux et calme, adresse recherchée.
Immeuble Art Déco (avec gardienne), 44 m², 2 petits balcons, belle hauteur sous plafond, parquet, double vitrage avec volets métalliques, chauffage collectif.
Entrée avec 3 grands placards à miroirs, salle de bains avec douche et fenêtre, cuisine séparée entièrement équipée (+ lave-linge séchant) avec fenêtre, espace salon, chambre avec coin bureau.
Le tout meublé et refait à neuf.
Loyer : 1.870 €/mois dont 180 € provision charges.
Dépôt de garantie 3.380 euros.
Libre immédiatement. Location meublée un an minimum.
Merci appeler le fixe du lundi au vendredi de 10h00 à 18h00 ou le portable 7 jours sur 7 en dehors de ces horaires.
Loyer : 1870 € charges comprises"
3,meublee studio ,43m,1500,Paris 13E,/  06 septembre 2019,"À partir du 15 novembre, Place d'Italie. Grand studio, meublé 43 m², lumineux, très belle vue sur Paris, sans vis-à-vis.
Entrée, dressing, séjour, salle à manger/bureau, cuisine, salle d'eau-douche italienne - wc.
Lave vaisselle, table induction, four encastré, micro-ondes, réfrigérateur, congélateur, lave linge séchant, TV, rangements.
Internet - Wifi.
Ascenseur. Gardien, Digicode.
Bail mobilité de 1 à 10 mois.

Université. Commerces. Centre commercial Italie 2.
Métro - Lignes : 5, 6, 7  -  Bus - Lignes : 27, 47, 57, 64, 67, 83.

Loyer : 1500 € charges comprises."
4,appartement ,42m,1700,Paris 14E,/  06 septembre 2019,"A quelques pas de Montparnasse !!!
Métro Edgar Quinet. Beau 2 pièces de 42 m². Proche de tous commerces précisément au 18-20, boulevard Edgar Quinet, à 5mn de la station métro Edgar Quinet. Entièrement meublé et équipé, lumineux au 2ème étage avec ascenseur, immeuble sécurisé (digicode, gardienne). Comprenant : Entrée, cuisine américaine toute équipée, séjour, salle d' eau avec douche à l'italienne, wc, chambre (nombreux placards/rangements). Cave. Eau chaude / froide et chauffage collectif inclus dans les charges.
Loyer : 1700E/mois charges comprises (internet compris)

Libre fin septembre"
5,meublee appartement ,76m,2750,Paris 14E,/  06 septembre 2019,"(English version below). Appartement. Alésia. Entièrement refait à neuf et remeublé.

Il se trouve à deux pas de la place d'Alésia et non loin de la place Denfert Rochereau, du parc Montsouris et de la Cité universitaire internationale.

L'appartement est de type haussmannien : parquet, moulures et cheminées dans chaque pièce. Toutes les fenêtres sont en double vitrage.

Il compte 4 pièces : 2 grandes chambres, 1 séjour et 1 salle à manger.
Appartement d'angle très lumineux, 3e étage, exposé plein sud. Toutes les pièces donnent sur rue.

L'appartement comprend une cuisine entièrement équipée (frigo, plaques, four, four micro-ondes, lave vaisselle), une salle de bain avec baignoire et lave linge et des wc  séparés.
L'immeuble dispose d'une courette où il est possible de mettre sa poussette ou un vélo.  Il n'y a pas d'ascenseur pour le moment.

Le quartier est commerçant mais calme: nombreux commerces de bouches, rue d'Alésia commerçante, librairie etc.

English version:  we rent our newly refurbished and refurnished flat located in Paris.The flat is ideally located in the 14th district of Paris, nearby the Place d'Alesia.
Our flat comprises 2 bedrooms with beds for four people in total, 1 bathroom (with a bath), 1 toilets, 1 fully equipped kitchen, 1 living room and 1 dining room.
The flat is 76 squared meters (c. 818 squared feet).

The flat is at the third floor (no lift for the moment, only stairs) of a building of Paris from the late 19th / early 20th century. The flat is oriented to the South which brings a lot of light all over the day (and a nice sunset view from the living room).
The flat has just been fully restored and refurnished (end of July 2019)!
The flat has been mainly refurnished with design pieces of furniture.

All the windows in the flat are double glazed. The kitchen and bathroom are fully equipped with : a fridge, oven, microwave, dish machine and washing machine.
Loyer : 2750 € charges comprises."
6,meublee studio ,15m,980,Paris 16E,/  06 septembre 2019,"Studio de 15 m² dans un immeuble de grand standing sur l'avenue Victor Hugo
Studio meublé, très éclairé, commerces à proximité
7ème étage avec ascenseur
Proche métro rue de la pompe ligne 9
Proche grandes écoles ISG, fac Dauphine

Loyer : 980 €/mois charges comprises."
7,meublee studio ,17m,-1,Paris 18E,/  06 septembre 2019,"Métro Guy Môquet.

Studio meublé 17 m² réservé aux étudiants, dans résidence de charme entièrement rénovée en 2012, sur rue pavée et arborée. Entièrement équipé, calme et très lumineux, prestations et literie de qualité : salle de bains indépendante avec wc, cuisine intégrée, vaisselle fournie, télévision écran plat, accès internet et téléphonie gratuite inclus.
Cet appartement est situé à deux pas du métro et de rue très animée et commerçante.

Bail étudiant(e).

Loyer : 790 €/mois + 60 € charges."
8,studio ,18m,675,Paris 17E,/  06 septembre 2019,"Quartier Batignolles. Rue Dulong.

Studio 18 m² au 2e avec ascenseur sur rue (volets métalliques et double vitrage).

Entrée avec une penderie, pièce principale avec 2 coins cuisine. Salle d'eau refaite à neuf (lavabo, douche, wc, branchement lave-linge.
Immeuble année 1930, gardienne , interphone.

A 8mn à pied du métro Villiers ou Rome.

Merci de nous indiquer votre situation (CDD, CDI, stages..) la durée de location souhaitée.
Visites ce week-end pour une signature de bail au plus tard mercredi .
Exposition Ouest.

Charges : eau chaude et chauffage collective.

Loyer : 615 €/mois + 60 € charges."
9,meublee appartement ,66m,2500,Paris ,/  06 septembre 2019,"Métro Jasmin.

Élégant duplex meublé, 66 m² + 15 m² terrasse privative sur le toit, au dernier étage d'un immeuble art déco (ascenseur et gardien). Grand salon avec 4 fenêtres sans vrai vis-à-vis, cuisine équipée américaine haut de gamme.

Entièrement équipé (télévision écran plat, lave-linge/sèche-linge). Ensoleillé et avec vues sur Tour Eiffel et jardins.

Quartier calme et avec tous les services.

Loyer charges comprises."
